Category: All categories

Week,fire tv: (United States),roku tv: (United States),apple tv: (United States)
2015-08-09,14,10,39
2015-08-16,14,10,39
2015-08-23,13,9,38
2015-08-30,14,10,45
2015-09-06,15,11,97
2015-09-13,17,9,56
2015-09-20,14,8,49
2015-09-27,14,8,48
2015-10-04,15,10,46
2015-10-11,14,9,44
2015-10-18,13,8,48
2015-10-25,12,9,80
2015-11-01,12,10,81
2015-11-08,14,11,60
2015-11-15,16,12,56
2015-11-22,27,30,87
2015-11-29,26,15,66
2015-12-06,19,12,59
2015-12-13,19,12,64
2015-12-20,27,16,100
2015-12-27,27,18,93
2016-01-03,20,12,64
2016-01-10,16,11,55
2016-01-17,17,12,55
2016-01-24,14,11,51
2016-01-31,15,10,47
2016-02-07,14,10,49
2016-02-14,15,10,46
2016-02-21,15,11,42
2016-02-28,16,10,43
2016-03-06,15,10,40
2016-03-13,14,10,40
2016-03-20,14,9,46
2016-03-27,14,10,44
2016-04-03,17,10,44
2016-04-10,15,10,41
2016-04-17,14,9,36
2016-04-24,15,10,39
2016-05-01,15,10,39
2016-05-08,15,10,39
2016-05-15,13,9,39
2016-05-22,13,9,39
2016-05-29,15,11,42
2016-06-05,14,11,39
2016-06-12,15,11,43
2016-06-19,16,10,43
2016-06-26,15,11,43
2016-07-03,16,11,44
2016-07-10,22,12,41
2016-07-17,16,10,38
2016-07-24,15,11,38
2016-07-31,16,12,44
2016-08-07,16,12,42
2016-08-14,14,12,39
2016-08-21,15,13,40
2016-08-28,16,13,40
2016-09-04,19,13,46
2016-09-11,17,12,46
2016-09-18,17,13,41
2016-09-25,16,13,44
2016-10-02,15,12,41
2016-10-09,15,11,37
2016-10-16,16,11,36
2016-10-23,16,13,43
2016-10-30,15,13,48
2016-11-06,15,13,38
2016-11-13,17,14,42
2016-11-20,28,27,67
2016-11-27,29,19,59
2016-12-04,21,15,47
2016-12-11,21,15,56
2016-12-18,26,18,63
2016-12-25,37,26,79
2017-01-01,29,20,59
2017-01-08,23,17,52
2017-01-15,22,16,44
2017-01-22,22,15,41
2017-01-29,20,16,39
2017-02-05,19,14,42
2017-02-12,18,14,37
2017-02-19,19,14,37
2017-02-26,20,14,36
2017-03-05,19,14,34
2017-03-12,19,13,38
2017-03-19,17,13,36
2017-03-26,19,12,35
2017-04-02,19,13,35
2017-04-09,16,11,33
2017-04-16,17,11,33
2017-04-23,17,12,32
2017-04-30,16,13,32
2017-05-07,16,12,31
2017-05-14,17,12,31
2017-05-21,16,12,31
2017-05-28,18,14,36
2017-06-04,18,14,38
